Ticker,Company,Industry
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Tài Chính
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản và Xây dựng
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Tài Chính
BVH,Tập đoàn Bảo Việt,Tài Chính
CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Tài Chính
FPT,Công ty Cổ phần FPT,Công nghệ
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Năng Lượng
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Nông Nghiệp
HDB,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Tài Chính
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Nguyên Vật  Liệu
MBB,Ngân hàng Thương mại Cổ phần Quân Đội,Tài Chính
MSN,Công ty Cổ phần Tập đoàn MaSan,Tài Chính
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Công Nghệ
PLX,Tập đoàn Xăng dầu Việt Nam,Năng Lượng
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Năng Lượng
SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn,Hàng Tiêu Dùng
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Tài Chính
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Tài Chính
SSI,Công ty Cổ phần Chứng khoán SSI,Tài Chính
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Tài Chính
TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Tài Chính
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Tài Chính
VCB,Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,Tài Chính
VHM,Công ty Cổ phần Vinhomes,Bất động sản và Xây dựng
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Tài Chính
VIC,Tập đoàn Vingroup - Công ty Cổ phần,Bất động sản và Xây dựng
VJC,Công ty Cổ phần Hàng không VietJet,Công Nghiệp
VNM,Công ty Cổ phần Sữa Việt Nam,Hàng Tiêu Dùng
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Tài Chính
VRE,Công ty Cổ phần Vincom Retail,Bất động sản và Xây dựng
